donor_id,source_title,source_type,source_url_or_ref,topology_type,lens_count,surface_count,EFL_native,F_number_native,HFOV_native,image_height_native,TTL_native,BFL_native,stop_position,material_completeness,asphere_completeness,native_replay_status,native_trace_status,entry_decision,notes
US7023628B1,Wide-angle objective,patent,https://patents.google.com/patent/US7023628B1/en,6G+cover fisheye,6,16,1.68,2.0,90,,20.2,4.45 mechanical from last powered surface,S7,ND_VD_COMPLETE,SPHERICAL_COMPLETE,NATIVE_PARTIAL,0-20deg 7/7; 35deg 2/7; 50deg+ 0/7,ENTER_MATERIAL_TRANSFER_ANALYSIS,"Native control fresh-load exists; semi-diameters and explicit image height are not disclosed."
US7554753B2,Fish-eye lens and imaging device,patent,https://patents.google.com/patent/US7554753B2/en,6G distributed rear relay,6,18,10.0,2.8,90,12.6,62.6,11.04884 mechanical path,S8,ND_VD_COMPLETE,S1_COMPLETE,NATIVE_PARTIAL,0-20deg full pass; native 35deg+ incomplete,ENTER_MATERIAL_TRANSFER_ANALYSIS,"Native scale is far outside W9A TTL; BFr=0.96 is not ordinary image-side BFL."
US8064149B2,Fisheye lens system,patent,https://patents.google.com/patent/US8064149B2/en,7G spherical fisheye,7,16,,2.8,95,,40.01,,S7,CATALOG_OR_ND_VD_COMPLETE,SPHERICAL_COMPLETE,NATIVE_PARTIAL,0-20deg 7/7; 35deg+ 0/7,ENTER_MATERIAL_TRANSFER_ANALYSIS,"Fresh-load native control forms an image at low field but does not reproduce patent high field."
US20200081231A1,Compact wide-angle lens,patent,https://patents.google.com/patent/US20200081231A1/en,7-element mixed glass/plastic,7,19,0.904,2.0,96.5,,12.225,1.349 mechanical from S13,S8,ND_VD_PARTIAL_FILTER_UNKNOWN,7_ASPHERES_COMPLETE,NATIVE_TRACE_FAIL,No tested field achieved full-pass,DO_NOT_TRANSFER,"Asphere readback passed; native trace did not. Image height and conventional BFL are not disclosed."
US8638507B2,Fisheye lens,patent,https://patents.google.com/patent/US8638507B2/en,8-element post-stop P-PN-P relay,8,18,1.68,1.55,90,,,5.5,S9,ND_VD_COMPLETE,S15_PARTIAL,NATIVE_INCOMPLETE,Not replayed because image gap and one asphere term remain reconstruction assumptions,DO_NOT_TRANSFER,"S18-image distance is derived; image height and semi-diameters are absent."
CN106154501A,Compact all-glass spherical fisheye,patent,https://patents.google.com/patent/CN106154501A/en,6G spherical fisheye,6,18,,2.0,105,,17.1,1.57 mechanical from last powered surface,S8,CATALOG_AND_ND_VD_COMPLETE,SPHERICAL_COMPLETE,NATIVE_PARTIAL,0-35deg full pass; higher field not reproduced,ENTER_MATERIAL_TRANSFER_ANALYSIS,"Compact and material-complete; explicit image height and conventional BFL are absent."
WO2016069418A1,Wide-angle spherical objective,patent,https://patents.google.com/patent/WO2016069418A1/en,7G spherical objective,7,18,,2.8,75,3.8345,24.002,4.027 mechanical from last powered surface,S9,ND_VD_COMPLETE,SPHERICAL_COMPLETE,NATIVE_INCOMPLETE,Native replay withheld pending PDF verification of OCR-normalized rows,DO_NOT_TRANSFER,"Complete table is promising but four OCR-normalized values require primary-PDF confirmation."
US9091843B1,Wide-angle imaging lens,patent,https://patents.google.com/patent/US9091843B1/en,compact aspheric wide angle,,, ,,, ,,,,PRESCRIPTION_TABLE_PRESENT,ASPHERE_TABLE_PRESENT,NATIVE_TRACE_FAIL,Nonzero fields fail or diagnostic variants collapse field mapping,DO_NOT_TRANSFER,"Forensic result: native rebuild assumptions unresolved; original Code V/ZMX/ZOS setup or pupil metadata required."
US20090080093A1,Wide-angle lens system,patent,https://patents.google.com/patent/US20090080093A1/en,compact wide-angle donor,,, ,,, ,,,,PRESCRIPTION_COMPLETE_FROM_PDF,ASPHERE_COMPLETE,NATIVE_TRACE_FAIL,Chief passes 0/30deg but fails 60/85deg,DO_NOT_TRANSFER,"Fresh-load native file exists; trace not reproduced and clear apertures are undisclosed."
CN114047597A,Compact 210-degree fisheye,patent,https://patents.google.com/patent/CN114047597A/en,compact admission-focused fisheye,7,18,,1.79,105,3.0,15.995,1.923,S9,CATALOG_OR_MODEL_GLASS_COMPLETE,ASPHERE_COMPLETE,NATIVE_PASS,Emb1 0-70deg 7/7 with hard geometry PASS,ENTER_MATERIAL_TRANSFER_ANALYSIS,"Native Emb1 is reproducible as an admission gene; BFL and image height miss W9A targets. Emb3 is excluded for geometry failure."
